Endpoint                        Methods  Rule
------------------------------  -------  -------------------------------
api_amenities_import            POST     /api/amenities/import
api_amenities_list              POST     /api/amenities/list
api_amenities_remove            POST     /api/amenities/remove
api_amenities_save              POST     /api/amenities/save
api_associate_details           POST     /api/associate/details
api_associates_amenities        POST     /api/associates/amenities
api_associates_entries          POST     /api/associates/entries
api_associates_list             POST     /api/associates/list
api_configs_list                POST     /api/configs/list
api_missing_list                POST     /api/missing/list
api_missing_remove              POST     /api/missing/remove
api_missing_reports             POST     /api/missing/reports
api_missing_reports_amenity     POST     /api/missing/reports/amenity
api_missing_reports_individual  POST     /api/missing/reports/individual
api_missing_save                POST     /api/missing/save
endpoints                       GET      /endpoints
html_templates_for_angularjs    GET      /html/<string:rawpath>
index                           GET      /
static                          GET      /static/<path:filename>
